"_time",ComputerName,Host,Image,CurrentDirectory,User,ParentImage
"2024-09-23T12:30:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:30:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:30:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:30:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:30:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:29:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:29:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:29:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:29:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:29:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:29:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:28:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:28:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:28:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:28:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:28:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:28:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:27:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:27:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:27:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:27:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:27:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:27:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:26:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:26:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:26:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:26:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:26:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:26:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:25:22.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.195.19\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"
"2024-09-23T12:25:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:25:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:25:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:25:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:25:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:25:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:24:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:24:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:24:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:24:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:24:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:24:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:23:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:23:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:23:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:23:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:23:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:23:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:22:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:22:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:22:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:22:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:22:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:22:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:21:31.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Windows\System32\DeviceCensus.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe"
"2024-09-23T12:21:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:21:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:21:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:21:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:21:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:21:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:20:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:20:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:20:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:20:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:20:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:20:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:19:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:19:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:19:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:19:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:19:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:19:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:18:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:18:16.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:18:15.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:18:14.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:18:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:18:13.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2024-09-23T12:17:17.000+00:00","WIN-K3HT5R52IES.KinesisPi.com",,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Windows\system32\","NOT_TRANSLATED
NT AUTHORITY\SYSTEM","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
